DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20140212,100700,182631.0468750,209000.0000000,209000.0000000,197000.0000000,214144
20140213,100100,187874.0468750,215000.0000000,218000.0000000,211000.0000000,427186
20140213,100200,187874.0468750,215000.0000000,218000.0000000,211000.0000000,427186
20140213,100300,187874.0468750,215000.0000000,218000.0000000,211000.0000000,427186
20140213,100400,187874.0468750,215000.0000000,218000.0000000,211000.0000000,427186
20140213,100500,187874.0468750,215000.0000000,218000.0000000,211000.0000000,427186
20140213,100600,187874.0468750,215000.0000000,218000.0000000,211000.0000000,427186
20140213,100700,187874.0468750,215000.0000000,218000.0000000,211000.0000000,427186
20140214,100100,183941.7968750,210500.0000000,216000.0000000,209500.0000000,198085
20140214,100200,183941.7968750,210500.0000000,216000.0000000,209500.0000000,198085
20140214,100300,183941.7968750,210500.0000000,216000.0000000,209500.0000000,198085
20140214,100400,183941.7968750,210500.0000000,216000.0000000,209500.0000000,198085
20140214,100500,183941.7968750,210500.0000000,216000.0000000,209500.0000000,198085
20140214,100600,183941.7968750,210500.0000000,216000.0000000,209500.0000000,198085
20140214,100700,183941.7968750,210500.0000000,216000.0000000,209500.0000000,198085
20140217,100100,185252.5312500,212000.0000000,213000.0000000,207500.0000000,120733
20140217,100200,185252.5312500,212000.0000000,213000.0000000,207500.0000000,120733
20140217,100300,185252.5312500,212000.0000000,213000.0000000,207500.0000000,120733
20140217,100400,185252.5312500,212000.0000000,213000.0000000,207500.0000000,120733
20140217,100500,185252.5312500,212000.0000000,213000.0000000,207500.0000000,120733
20140217,100600,185252.5312500,212000.0000000,213000.0000000,207500.0000000,120733
20140217,100700,185252.5312500,212000.0000000,213000.0000000,207500.0000000,120733
20140218,100100,182631.0468750,209000.0000000,213000.0000000,208500.0000000,84471
20140218,100200,182631.0468750,209000.0000000,213000.0000000,208500.0000000,84471
20140218,100300,182631.0468750,209000.0000000,213000.0000000,208500.0000000,84471
20140218,100400,182631.0468750,209000.0000000,213000.0000000,208500.0000000,84471
20140218,100500,182631.0468750,209000.0000000,213000.0000000,208500.0000000,84471
20140218,100600,182631.0468750,209000.0000000,213000.0000000,208500.0000000,84471
20140218,100700,182631.0468750,209000.0000000,213000.0000000,208500.0000000,84471
20140219,100100,182194.1250000,208500.0000000,210500.0000000,205000.0000000,203178
20140219,100200,182194.1250000,208500.0000000,210500.0000000,205000.0000000,203178
20140219,100300,182194.1250000,208500.0000000,210500.0000000,205000.0000000,203178
20140219,100400,182194.1250000,208500.0000000,210500.0000000,205000.0000000,203178
20140219,100500,182194.1250000,208500.0000000,210500.0000000,205000.0000000,203178
20140219,100600,182194.1250000,208500.0000000,210500.0000000,205000.0000000,203178
20140219,100700,182194.1250000,208500.0000000,210500.0000000,205000.0000000,203178
20140220,100100,181757.2031250,208000.0000000,212000.0000000,206000.0000000,150736
20140220,100200,181757.2031250,208000.0000000,212000.0000000,206000.0000000,150736
20140220,100300,181757.2031250,208000.0000000,212000.0000000,206000.0000000,150736
20140220,100400,181757.2031250,208000.0000000,212000.0000000,206000.0000000,150736
20140220,100500,181757.2031250,208000.0000000,212000.0000000,206000.0000000,150736
20140220,100600,181757.2031250,208000.0000000,212000.0000000,206000.0000000,150736
20140220,100700,181757.2031250,208000.0000000,212000.0000000,206000.0000000,150736
20140221,100100,177388.0468750,203000.0000000,210000.0000000,202000.0000000,231981
20140221,100200,177388.0468750,203000.0000000,210000.0000000,202000.0000000,231981
20140221,100300,177388.0468750,203000.0000000,210000.0000000,202000.0000000,231981
20140221,100400,177388.0468750,203000.0000000,210000.0000000,202000.0000000,231981
20140221,100500,177388.0468750,203000.0000000,210000.0000000,202000.0000000,231981
20140221,100600,177388.0468750,203000.0000000,210000.0000000,202000.0000000,231981
20140221,100700,177388.0468750,203000.0000000,210000.0000000,202000.0000000,231981
20140224,100100,164280.5781250,188000.0000000,202500.0000000,187500.0000000,689442
20140224,100200,164280.5781250,188000.0000000,202500.0000000,187500.0000000,689442
20140224,100300,164280.5781250,188000.0000000,202500.0000000,187500.0000000,689442
20140224,100400,164280.5781250,188000.0000000,202500.0000000,187500.0000000,689442
20140224,100500,164280.5781250,188000.0000000,202500.0000000,187500.0000000,689442
20140224,100600,164280.5781250,188000.0000000,202500.0000000,187500.0000000,689442
20140224,100700,164280.5781250,188000.0000000,202500.0000000,187500.0000000,689442
20140225,100100,169086.6250000,193500.0000000,194500.0000000,186000.0000000,375780
20140225,100200,169086.6250000,193500.0000000,194500.0000000,186000.0000000,375780
20140225,100300,169086.6250000,193500.0000000,194500.0000000,186000.0000000,375780
20140225,100400,169086.6250000,193500.0000000,194500.0000000,186000.0000000,375780
20140225,100500,169086.6250000,193500.0000000,194500.0000000,186000.0000000,375780
20140225,100600,169086.6250000,193500.0000000,194500.0000000,186000.0000000,375780
20140225,100700,169086.6250000,193500.0000000,194500.0000000,186000.0000000,375780
20140226,100100,168212.8125000,192500.0000000,196000.0000000,192000.0000000,187972
20140226,100200,168212.8125000,192500.0000000,196000.0000000,192000.0000000,187972
20140226,100300,168212.8125000,192500.0000000,196000.0000000,192000.0000000,187972
20140226,100400,168212.8125000,192500.0000000,196000.0000000,192000.0000000,187972
20140226,100500,168212.8125000,192500.0000000,196000.0000000,192000.0000000,187972
20140226,100600,168212.8125000,192500.0000000,196000.0000000,192000.0000000,187972
20140226,100700,168212.8125000,192500.0000000,196000.0000000,192000.0000000,187972
20140227,100100,171708.1250000,196500.0000000,198500.0000000,192500.0000000,195648
20140227,100200,171708.1250000,196500.0000000,198500.0000000,192500.0000000,195648
20140227,100300,171708.1250000,196500.0000000,198500.0000000,192500.0000000,195648
20140227,100400,171708.1250000,196500.0000000,198500.0000000,192500.0000000,195648
20140227,100500,171708.1250000,196500.0000000,198500.0000000,192500.0000000,195648
20140227,100600,171708.1250000,196500.0000000,198500.0000000,192500.0000000,195648
20140227,100700,171708.1250000,196500.0000000,198500.0000000,192500.0000000,195648
